truck_id,order_id,sequence_number
39,494.0,3
39,295.0,4
39,149.0,5
39,132.0,6
39,347.0,7
39,451.0,8
40,58.0,1
41,20.0,1
41,387.0,2
41,106.0,3
41,467.0,4
41,263.0,5
41,131.0,6
41,218.0,7
41,378.0,8
42,52.0,1
42,68.0,2
42,214.0,3
42,76.0,4
42,281.0,5
42,129.0,6
42,64.0,7
42,367.0,8
42,482.0,9
42,28.0,10
43,123.0,1
43,250.0,2
43,434.0,3
43,446.0,4
43,246.0,5
44,109.0,1
44,312.0,2
44,75.0,3
44,317.0,4
44,14.0,5
44,437.0,6
44,77.0,7
44,141.0,8
44,258.0,9
45,7.0,1
45,498.0,2
45,117.0,3
45,124.0,4
45,89.0,5
45,202.0,6
45,239.0,7
46,447.0,1
46,169.0,2
46,358.0,3
46,193.0,4
46,208.0,5
46,156.0,6
46,379.0,7
47,315.0,1
47,247.0,2
47,464.0,3
47,488.0,4
47,194.0,5
47,38.0,6
47,431.0,7
48,1.0,1
48,198.0,2
48,478.0,3
48,200.0,4
48,380.0,5
48,37.0,6
48,345.0,7
48,100.0,8
48,293.0,9
48,365.0,10
49,369.0,1
49,458.0,2
49,261.0,3
49,332.0,4
49,408.0,5
49,468.0,6
49,18.0,7
49,371.0,8
50,10.0,1
50,443.0,2
50,462.0,3
50,42.0,4
50,445.0,5
50,428.0,6
50,339.0,7
51,344.0,1
52,366.0,1
53,36.0,1
53,454.0,2
53,140.0,3
53,356.0,4
53,262.0,5
53,484.0,6
53,137.0,7
53,256.0,8
54,166.0,1
54,264.0,2
54,296.0,3
54,34.0,4
54,199.0,5
55,300.0,1
55,390.0,2
55,351.0,3
55,368.0,4
55,74.0,5
55,29.0,6
55,133.0,7
55,183.0,8
55,220.0,9
55,361.0,10
56,414.0,1
56,472.0,2
56,485.0,3
57,147.0,1
57,231.0,2
57,280.0,3
57,46.0,4
57,50.0,5
57,359.0,6
57,144.0,7
57,163.0,8
57,233.0,9
57,292.0,10
58,436.0,1
58,177.0,2
58,178.0,3
58,153.0,4
59,283.0,1
60,24.0,1
60,53.0,2
60,308.0,3
60,170.0,4
60,21.0,5
60,385.0,6
60,120.0,7
60,57.0,8
60,364.0,9
61,41.0,1
61,430.0,2
61,80.0,3
62,386.0,1
62,158.0,2
62,148.0,3
62,181.0,4
62,136.0,5
62,127.0,6
62,274.0,7
62,162.0,8
62,298.0,9
63,8.0,1
63,225.0,2
63,320.0,3
63,229.0,4
63,471.0,5
63,60.0,6
63,82.0,7
63,112.0,8
63,150.0,9
64,376.0,1
64,406.0,2
64,167.0,3
64,155.0,4
64,161.0,5
64,486.0,6
64,43.0,7
64,116.0,8
65,5.0,1
66,212.0,1
66,321.0,2
66,267.0,3
66,268.0,4
66,497.0,5
66,453.0,6
66,226.0,7
66,69.0,8
66,388.0,9
66,433.0,10
67,452.0,1
67,272.0,2
67,343.0,3
67,370.0,4
67,171.0,5
67,311.0,6
68,392.0,1
69,487.0,1
69,499.0,2
70,360.0,1
70,73.0,2
70,336.0,3
70,122.0,4
70,134.0,5
71,305.0,1
72,99.0,1
72,269.0,2
72,72.0,3
72,469.0,4
72,276.0,5
72,335.0,6
72,413.0,7
72,421.0,8
72,30.0,9
72,114.0,10
73,207.0,1
73,429.0,2
73,2.0,3
73,176.0,4
73,211.0,5
73,232.0,6
73,27.0,7
73,96.0,8
73,278.0,9
73,297.0,10
74,483.0,1
74,354.0,2
74,206.0,3
74,337.0,4
74,416.0,5
74,427.0,6
74,466.0,7
75,420.0,1
75,396.0,2
75,12.0,3
75,98.0,4
75,473.0,5
76,476.0,1
77,66.0,1
77,67.0,2
77,410.0,3
77,173.0,4
78,135.0,1
78,353.0,2
78,328.0,3
78,235.0,4
78,9.0,5
78,61.0,6
79,289.0,1
79,389.0,2
79,342.0,3
79,333.0,4
79,182.0,5
79,22.0,6
79,221.0,7
79,188.0,8
79,93.0,9
80,242.0,1
80,441.0,2
80,17.0,3
80,103.0,4
80,465.0,5
80,45.0,6
80,398.0,7
80,409.0,8
80,449.0,9
80,203.0,10
81,304.0,1
82,373.0,1
82,97.0,2
82,463.0,3
82,92.0,4
82,185.0,5
82,285.0,6
82,138.0,7
83,104.0,1
83,164.0,2
83,330.0,3
83,475.0,4
83,3.0,5
83,65.0,6
83,245.0,7
83,459.0,8
83,491.0,9
83,33.0,10
84,196.0,1
84,224.0,2
