truck_id,order_id,sequence_number
63,187.0,5
63,238.0,6
64,248.0,1
65,23.0,1
65,49.0,2
65,394.0,3
65,411.0,4
65,457.0,5
65,381.0,6
65,393.0,7
65,81.0,8
65,304.0,9
66,5.0,1
67,374.0,1
67,94.0,2
68,90.0,1
68,159.0,2
68,395.0,3
68,375.0,4
68,227.0,5
68,260.0,6
69,418.0,1
69,490.0,2
69,166.0,3
69,349.0,4
70,376.0,1
70,406.0,2
70,167.0,3
70,161.0,4
70,43.0,5
71,228.0,1
72,383.0,1
73,247.0,1
73,410.0,2
73,173.0,3
74,404.0,1
74,51.0,2
74,468.0,3
74,477.0,4
75,242.0,1
75,441.0,2
75,465.0,3
75,45.0,4
75,263.0,5
75,398.0,6
75,409.0,7
75,449.0,8
75,203.0,9
76,133.0,1
76,220.0,2
77,425.0,1
77,216.0,2
77,222.0,3
77,250.0,4
77,114.0,5
77,205.0,6
78,246.0,1
79,58.0,1
80,330.0,1
80,456.0,2
80,475.0,3
80,245.0,4
80,459.0,5
80,491.0,6
80,196.0,7
81,6.0,1
81,357.0,2
81,397.0,3
81,128.0,4
81,344.0,5
82,10.0,1
82,14.0,2
82,141.0,3
82,258.0,4
83,118.0,1
83,98.0,2
83,476.0,3
84,202.0,1
84,447.0,2
84,379.0,3
85,21.0,1
85,364.0,2
86,419.0,1
86,237.0,2
86,318.0,3
86,273.0,4
86,396.0,5
86,168.0,6
86,322.0,7
86,12.0,8
86,146.0,9
86,492.0,10
87,70.0,1
87,88.0,2
87,461.0,3
87,382.0,4
87,151.0,5
88,244.0,1
88,174.0,2
88,78.0,3
89,8.0,1
89,306.0,2
89,440.0,3
89,439.0,4
90,160.0,1
90,334.0,2
90,462.0,3
90,119.0,4
91,291.0,1
91,341.0,2
91,236.0,3
91,423.0,4
91,125.0,5
91,182.0,6
91,284.0,7
91,215.0,8
91,240.0,9
92,386.0,1
92,148.0,2
92,127.0,3
92,298.0,4
93,157.0,1
93,56.0,2
93,102.0,3
93,448.0,4
94,359.0,1
94,194.0,2
94,178.0,3
94,283.0,4
95,389.0,1
95,106.0,2
96,7.0,1
96,498.0,2
96,124.0,3
96,358.0,4
96,208.0,5
97,226.0,1
97,69.0,2
97,433.0,3
97,452.0,4
97,370.0,5
97,171.0,6
97,311.0,7
98,499.0,1
99,53.0,1
99,74.0,2
99,414.0,3
99,472.0,4
100,326.0,1
100,85.0,2
100,295.0,3
100,494.0,4
100,149.0,5
101,270.0,1
101,455.0,2
102,143.0,1
102,362.0,2
102,15.0,3
102,25.0,4
102,282.0,5
102,108.0,6
103,1.0,1
103,198.0,2
103,37.0,3
103,345.0,4
103,18.0,5
104,48.0,1
104,479.0,2
105,225.0,1
105,320.0,2
105,60.0,3
106,373.0,1
106,97.0,2
106,463.0,3
106,185.0,4
106,138.0,5
107,264.0,1
107,288.0,2
108,474.0,1
108,50.0,2
108,277.0,3
108,352.0,4
108,265.0,5
108,252.0,6
108,139.0,7
108,152.0,8
108,290.0,9
